
Scorecard: .timing-runs/auto-time-2026-06-18T09-49-42-473Z.json
Words: 353
Lines timed: 50/50 (direct 43, repeat-template 0, interpolated 7)
Confidence: high 34, medium 9, low 0, estimated 7, unmatched 0
Truth labels: 10; scored 10; median |error| 0.050s; max |error| 0.420s

Line Conf       Ratio    Start    Truth    |Err| Text
---- ---------- ----- -------- -------- -------- ------------------------------
   1 word-match  1.00   41.400   41.440    0.040 आज से तेरी सारी गलियां मेरी हो गई
   2 word-match  1.00   47.680   47.680    0.000 आज से मेरा घर तेरा हो गया
   3 word-match  1.00   59.440   59.440    0.000 आज से तेरी सारी गलियां मेरी हो गई
   4 word-match  1.00   65.720   65.720    0.000 आज से मेरा घर तेरा हो गया
   5 word-match  0.88   72.240   71.820    0.420 आज से मेरी सारी खुशियां तेरी हो गई
   6 word-match  1.00   77.980   77.800    0.180 आज से तेरा घम मेरा हो गया
   7 word-match  0.71   82.860   82.920    0.060 ओ तेरे कान्दे का जो तिल है
   8 word-match  0.86   86.200   86.200    0.000 ओ तेरे सीने में जो दिल है
   9 word-match  0.71   88.740   88.960    0.220 ओ तेरी बिजली का जो बिल है
  10 word-match  0.80   92.040   91.960    0.080 आज से मेरा हो गया
  11 word-match  1.00   94.940        -        - ओ मेरे खाबों का अमबर
  12 word-match  1.00   97.700        -        - ओ मेरी खुशियों का समंदर
  13 word-match  1.00  100.760        -        - ओ मेरे पिन कोड का नंबर
  14 word-match  1.00  104.040        -        - आज से तेरा हो गया
  15 word-match  0.91  139.380        -        - तेरे माथे के कुम कुम को मैं तिलक लगा के घूंगूं
  16 interpolated  0.00  146.482        -        - तेरी बाली की छन छन को मैं दिल से लगा के जूंगूं
  17 word-match  0.90  152.400        -        - मेरी चोटी सी भूलों को तु नदिया में बहा देना
  18 word-match  1.00  158.080        -        - तेरे जूड़े के फूलों को मैं अपनी शर्ट में पहनूं
  19 word-match  0.90  164.460        -        - बस मेरे लिए तू माल पुए कभी-कभी बना देना
  20 interpolated  0.00  172.666        -        - आज से मेरी सारी रतियां तेरी हो गईं
  21 interpolated  0.00  179.846        -        - आज से तेरा दिन मेरा हो गया
  22 word-match  0.83  186.000        -        - तेरे कन्धे का जो तिल है
  23 interpolated  0.00  187.708        -        - तेरे सीने में जो दिल है
  24 interpolated  0.00  189.416        -        - तेरी बिजली का जो बिल है
  25 word-match  1.00  190.840        -        - आज से मेरा हो गया
  26 word-match  1.00  194.040        -        - मेरे खाबों का अमबर
